Country Name,Life exp,GDPPC,Export,Import,Fertility,ChildMortality,Inflation
St. Lucia,71.11,9414.23,2750000000,3510000000,1.399,24.8,2.410703122
St. Vincent and the Grenadines,69.63,8666.39,122000000,542000000,1.797,13.7,1.572729325
Sudan,65.27,751.82,772804661,643989332.3,4.457,54.9,382.8159983
Suriname,70.27,4869.13,2830000000,1650000000,2.348,17.2,59.11966263
Sweden,83.16,61028.74,2.89E+11,2.62E+11,1.67,2.5,2.163197364
Switzerland,83.85,91991.6,5.71E+11,4.76E+11,1.52,3.8,0.581814168
Syrian Arab Republic,72.06,533.39,1010000000,4360000000,2.747,22.3,139
Tajikistan,71.59,897.05,2100000000,5100000000,3.186,31.4,8.79
Tanzania,66.2,1099.29,9722217412,11568526505,4.726,47.1,3.690919588
Thailand,78.72,7066.19,2.95E+11,2.96E+11,1.331,8.3,1.230395413
Timor-Leste,67.74,2741.39,2313517062,1313733032,3.149,50.5,3.78
Togo,61.62,973.21,1961685800,2879433005,4.257,62.6,11
Tonga,70.99,4426,58760261.64,285502875.5,3.237,11.1,5.640511406
Trinidad and Tobago,72.97,16032.5,9860000000,6450000000,1.626,16.3,2.059227469
Tunisia,73.77,3807.14,19667060297,24382894972,2.086,16.3,5.706350208
Turkiye,76.03,9661.24,2.89E+11,2.91E+11,1.889,9,19.59649269
Turkmenistan,69.26,7344.65,7200000000,3470000000,2.667,41.4,17.5
Turks and Caicos Islands,74.59,20908.58,7810000,286000000,1.669,4.5,4.5
Tuvalu,64.55,5632,129000000,128000000,3.163,21.3,3
Uganda,62.71,883.89,6396009317,10510437218,4.585,42.1,2.204572048
Ukraine,69.65,4835.57,81532203092,83781068819,1.16,8.2,9.363139177
United Arab Emirates,78.71,44315.55,2.96E+11,2.69E+11,1.46,6.4,-0.013859944
United Kingdom,80.7,46510.28,8.75E+11,8.99E+11,1.56,4.2,2.518371096
United States,76.33,70248.63,2.54E+12,3.40E+12,1.664,6.2,4.697858864
Uruguay,75.44,17313.19,18675019829,15021961840,1.493,5.8,7.747914023
Uzbekistan,70.86,1983.06,16436730538,27794836637,3.173,14.1,10.84923975
Vanuatu,70.45,2996.62,94287476.3,414462894.9,3.735,23.2,2.343283582
"Venezuela, RB",70.55,3459.15,3200000000,7050000000,2.211,24.2,1588.51
Vietnam,73.62,3756.49,3.42E+11,3.41E+11,1.944,20.6,1.834715548
West Bank and Gaza,73.47,3663.97,3180200000,10244900000,3.504,14.8,1.237481028
"Yemen, Rep.",63.75,619.55,1970000000,12600000000,3.795,61.9,26.02
Zambia,61.22,1137.34,11534130929,7511102230,4.308,57.7,22.02076762
Zimbabwe,59.25,1773.92,7209542056,8767062802,3.491,49.5,98.54610509
